	rab.all	rab.win.Dalhousie	rab.win.PaloAlto	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
7790ec1a3d84bee80a6e143e0d48da46	-0.131954838611891	-0.176377987046219	-0.0243488755542867	0.14193560097353	4.22832491047237	0.0289952666035585	0.483940972474583	0.510165124821193	0.678117218405069	0.513509143948298	0.670449074564435
5d2dfb5e06a02ec24c7ce75265bf627f	0.351006834937855	0.0960836385315735	0.9901859134858	1.00241433604933	4.62570248329544	0.196849363375616	0.40104166828348	0.221644335780808	0.377762734941755	0.170429470988381	0.312920981894988
a457220fe7156ac546a209df7cc5d2b5	-0.000184024305892372	-0.163529051425331	0.409987183263615	0.748099149023651	4.55715120901713	0.140393761375485	0.429253473355514	0.39603387585249	0.548881681290317	0.361993526308249	0.501029954149326
cb83ee673fe144c57e61c555fb9e35e0	-0.0442465274666111	-0.155343086516539	0.210912606456907	0.487798274570356	4.40919214980152	0.0973118397308182	0.449652778576242	0.408444204135538	0.586051532149744	0.40493543657167	0.571326183228376
8fc8cf47a2d8f00c9d9a73fff3621f5d	0.304065286995734	0.269481079581694	0.391624964690768	0.339740176238547	4.57706157918868	0.0619727160012436	0.466579861638106	0.515111124946037	0.687240833258235	0.54565809023743	0.698386116207164
07ffe16e16d71512faff9e95f4b07598	0.138199919406514	-0.0606029432402453	0.70779908874938	0.977145157341887	4.48933267112672	0.189674206944904	0.394531251732784	0.265807394420575	0.425477877641213	0.208452150628154	0.345709382083333
3830cdb9a5904e4317db603263a75f43	-0.16109186083403	-0.207702547255548	-0.0753843484143752	0.131653642425227	4.42531127268137	0.025679274252838	0.485677083558364	0.488724786749245	0.665348259918977	0.493616225001554	0.660019224390283
05befdfa15f80e0119747ac487f27166	-0.00357820079426752	-0.110166293313443	0.21078754536685	0.310947458370943	4.31807805026328	0.0630914720036186	0.464208243514384	0.461050290787562	0.636925700491195	0.452802688738925	0.61362250511603
21e7f318343fbb396d8c49541c2fd554	-0.107646584619054	-0.172478299410356	0.0236005537970954	0.198259292980445	4.13620359852217	0.0367858768556063	0.479392625052621	0.505179750102823	0.668532922285568	0.531154497613234	0.678809659798287
9fd39a161bf7c2e5832bc8da81c89084	0.0224296533527752	-0.10573709949003	0.320441651308062	0.49861739848907	4.293660392283	0.0977843648288268	0.449457701451685	0.40358710130508	0.57977306174567	0.381880575112986	0.537455477751358
b255b5d520f8f9e95146d19130540825	-0.0802168151003197	-0.186999890391104	0.147271296451319	0.299079646227096	4.3979212092046	0.0606630046972758	0.468112798766826	0.498147511540187	0.672035194970505	0.457317025650775	0.631126391292657
5942e87f1f1108f0abe41d8c8833e075	-0.0879613577039207	-0.118393304479797	-0.0100195763213389	0.193219427277949	4.33619097233781	0.0352356379723911	0.47829861145243	0.467444990383627	0.646993028203718	0.486617777563353	0.64610131068072
06240afa7f4397dab0c027b57af509bb	-0.0971736229753386	-0.0261998039527285	-0.255215618020358	-0.381572245909832	4.3525693136624	-0.0762640222432102	0.457899306221186	0.470892729298367	0.643052939287379	0.451484823490213	0.614625913670673
965492190030cfcf0e2b444510c70292	-0.0923174701125262	-0.0530322230361184	-0.164848784349559	-0.178605903194863	4.19806073047292	-0.0359342188519765	0.481995661887966	0.528072618688536	0.702148638243159	0.523474625237787	0.684699939620202
f4e4c881b81f4639fa62c40b4bfaab16	0.00136265133739233	0.0391715882710884	-0.0757371826911557	-0.128814830916208	4.4681039558711	-0.0249178375275113	0.486767896086212	0.54824424040348	0.724506417359519	0.535451435954324	0.702560263628712
3b4d3b93dcbbfe0b09f267843f6e301b	-0.0428122756122873	0.0630940864517715	-0.293479586914507	-0.430313112416069	4.28916830469589	-0.0896354114513302	0.451822917430055	0.46767926183296	0.656261762464513	0.468785457091981	0.631112780292726
3103cacaa7ada4890a0fe4a0cf85c4e9	-0.0743772111271044	0.0085342144919851	-0.239430256762944	-0.257065954602171	4.21681968549893	-0.0536905742064666	0.469618056034269	0.48887166003276	0.669947652031054	0.461856823614201	0.622006112625388
213714e5d842f00f198b2425a88134c6	-0.0851592171665194	0.0150903543218064	-0.293771253407902	-0.285176212588318	4.32294540487912	-0.0535262244862632	0.468546638239332	0.483068295865967	0.665784634555937	0.458119866312599	0.622978389051605
c68489976879a55e8cf4702abb95ef2b	0.050019458257557	0.06891356067419	0.0229023631902061	-0.108434477918579	4.32029033432572	-0.0243440380616559	0.488937093449092	0.512210687425912	0.686876709209107	0.518356416775671	0.684597992188122
a02576af9a90736a54e6699e67f44589	-0.112105849972082	-0.0259024275010242	-0.296343895677775	-0.29922004731506	4.26083258023845	-0.0623535571511441	0.46898047771184	0.452475038729245	0.628468923951423	0.464248553281772	0.627999486742462
be292d767e322f7e40a478cd08604c34	-0.0170838602499277	0.0869622762428826	-0.194903372229272	-0.314857820919448	4.24986719955276	-0.0664156967302154	0.465509761931843	0.452916957675128	0.639937260697915	0.462287218927142	0.619562433537994
b677e3d1610618004b41b48b334775b7	-0.00696116092800381	0.0522260211262973	-0.126589175933424	-0.246676509688241	4.11194806631547	-0.0537381139755894	0.471788194888737	0.519262854592551	0.69257955764235	0.523213462336382	0.679723855356227
2ecbe76741626f65c1430432a6dad7c8	-0.163420053583707	-0.164456385086323	-0.163343534537631	-0.00625589342643984	4.42011182934504	-0.00116876296967677	0.498697916687107	0.512304015603044	0.685131515408405	0.517608926056778	0.681259180454706
d27eec9783994cf0fe7ff4950600cdea	-0.13351395594122	-0.17571960448436	-0.0436589241727718	0.22955811486903	4.48768515654986	0.0503365724962232	0.47526041705599	0.485406613343692	0.655089965003121	0.49156168128247	0.651718778256576
eb64d19dfef6543eb663cbffd3f6335b	0.0705707212174174	-0.207304066759901	0.796283384306285	1.18699929607064	4.60715939825859	0.219974101584594	0.38888889072376	0.202085834495258	0.349382388968742	0.135910711851629	0.252813052721797
baed4d02fccb6722d41a07c0916bbba5	-0.0817795266925678	-0.155218796937805	0.0772468913000415	0.281377495350867	4.41731478969284	0.0575203221556789	0.46701388940898	0.447315845532531	0.630597755184627	0.47870046189246	0.641864906766596
e84b7c6f95404383a848314d6c6b8e21	0.131557591376926	0.00335643353388715	0.497620995151248	0.650371805280002	4.62802811509868	0.120440196625871	0.440347072532664	0.390276710703175	0.561949681404482	0.353117273028518	0.519823124128489
